music,genre,rating,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
id_4842,"relaxing, ambient, zen, Isochronic, nature, classic",9,66,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.998
id_67288,"chillout, nature, meditation, binucalor",9,60,0.582,0.817,0,-6.475,1,0.0399,0.0017,0.0158,0.575,0.622,155.124
id_79321,"Isochronic, classic, nature",9,51,0.525,0.976,0,-2.023,1,0.0479,0.0662,0.000392,0.0804,0.855,138.984
id_32859,"ambient, zen, greogrean_chant, nature, chillout",7,47,0.21,0.87,5,-5.985,1,0.0606,0.000147,0.000488,0.188,0.517,168.352
id_12188,"zen, nature, binucalor, classic, meditation",8,57,0.692,0.799,1,-7.924,1,0.164,0.388,0,0.301,0.549,97.978
id_97791,"ambient, Isochronic, nature, chillout, meditation",7,40,0.525,0.623,7,-6.253,0,0.0291,0.247,0.742,0.148,0.839,144.583
id_17009,"ambient, zen, greogrean_chant, nature, chillout, meditation",9,57,0.445,0.655,2,-7.402,0,0.0694,0.418,5.19E-06,0.0829,0.62,108.406
id_32648,"relaxing, Isochronic, zen, ambient, greogrean_chant, meditation",7,47,0.456,0.754,6,-3.875,0,0.0298,0.195,0.485,0.292,0.521,109.825
id_5334,"ambient, Isochronic, greogrean_chant, nature, binucalor, chillout, classic",4,47,0.456,0.857,7,-5.854,1,0.0833,0.00157,0.0344,0.333,0.559,167.709
id_58049,"ambient, nature, binucalor, chillout, classic, meditation",2,25,0.456,0.961,7,-4.353,1,0.0772,0.000288,0.00201,0.366,0.712,76.547
id_69812,"ambient, greogrean_chant, nature, binucalor, meditation",6,46,0.892,0.47,0,-8.413,1,0.0368,0.75,0,0.0817,0.784,108.92
id_41590,"nature, binucalor, chillout, classic, meditation",8,46,0.558,0.876,6,-5.625,1,0.0288,0.0244,0.293,0.0971,0.448,141.995
id_90651,"ambient, zen, Isochronic, nature, binucalor, chillout, classic",2,66,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.499
id_65122,"relaxing, zen, greogrean_chant, nature, chillout, classic, meditation",3,54,0.595,0.714,7,-8.9,1,0.0277,0.00378,0.405,0.242,0.399,128.011
id_64154,"Isochronic, ambient, greogrean_chant, nature, binucalor",3,54,0.18,0.915,0,-6.855,1,0.0946,0.0224,1.43E-05,0.0929,0.101,94.578
id_58014,"relaxing, Isochronic, zen, classic, meditation",1,52,0.74,0.696,7,-9.447,1,0.0298,0.524,3.12E-05,0.0752,0.426,103.04
id_98530,"relaxing, zen, greogrean_chant, binucalor, classic",8,49,0.464,0.919,1,-2.497,1,0.111,0.00315,0.000497,0.154,0.703,167.865
id_95701,"relaxing, greogrean_chant, binucalor, classic, meditation",1,73,0.651,0.801,0,-7.34,1,0.0514,0.123,0,0.0825,0.776,133.769
id_48837,"relaxing, zen, greogrean_chant, nature, binucalor, chillout",4,44,0.525,0.922,7,-6.136,1,0.0735,0.000167,3.50E-06,0.77,0.494,142.971
id_18305,"relaxing, ambient, zen, greogrean_chant, binucalor, chillout, classic",9,40,0.571,0.719,8,-7.193,0,0.0288,0.00274,0.000463,0.19,0.613,91.984
id_23073,"relaxing, ambient, Isochronic, chillout, classic, meditation",5,53,0.373,0.755,2,-7.574,1,0.103,0.00411,0.000799,0.0635,0.57,111.813
id_81835,"ambient, Isochronic, zen, greogrean_chant, nature, meditation",1,56,0.395,0.824,5,-5.659,0,0.0317,0.0516,0.395,0.206,0.514,83.422
id_69906,"relaxing, Isochronic, zen, binucalor, classic, meditation",8,14,0.702,0.594,9,-6.401,1,0.262,0.000157,0.603,0.084,0.521,126.015
id_40617,"relaxing, Isochronic, zen, ambient, binucalor, classic",9,51,0.833,0.45,1,-9.788,1,0.0829,0.0887,0.00113,0.0873,0.432,101.775
id_86608,"Isochronic, zen, greogrean_chant, binucalor, chillout, classic",9,68,0.459,0.931,5,-5.024,1,0.0612,0.00126,0.00881,0.412,0.419,135.826
id_54100,"Isochronic, zen, ambient, chillout, classic, meditation",5,27,0.342,0.888,7,-4.404,1,0.0617,0.00116,1.18E-05,0.214,0.287,159.118
id_39729,"relaxing, Isochronic, zen, nature, classic, meditation",9,53,0.6,0.593,0,-9.799,1,0.0452,0.726,0,0.399,0.912,134.979
id_53212,"classic, zen, binucalor, greogrean_chant",9,35,0.567,0.914,0,-5.969,0,0.0363,0.0106,0,0.125,0.667,124.005
id_82373,"relaxing, zen, nature, binucalor, chillout, classic",9,36,0.801,0.346,7,-14.296,1,0.11,0.957,0.913,0.0989,0.309,137.971
